#eps=200, mi=5, 1d points randomly selected rand%10000
number_of_points dbscan_odc_duration_ratio
2.5000e+004 5.0692e+001
5.0000e+004 1.1714e+002
7.5000e+004 1.8790e+002
1.0000e+005 2.3024e+002
1.2500e+005 3.0312e+002
1.5000e+005 3.3125e+002
1.7500e+005 3.8439e+002
2.0000e+005 4.0368e+002
2.2500e+005 4.4857e+002
2.5000e+005 5.0117e+002
2.7500e+005 5.4350e+002
3.0000e+005 5.8757e+002
3.2500e+005 6.2332e+002
