#N=10000 sum of ti-dists depending on pacement of r on and axis
dist-from-0 ti-dist-sum-3 ti-dist-sum-4 ti-dist-sum-5
1.3000e+001 1.7315e+009 1.5748e+009 1.4309e+009
1.3100e+001 1.7311e+009 1.5744e+009 1.4306e+009
1.3200e+001 1.7306e+009 1.5740e+009 1.4303e+009
1.3300e+001 1.7301e+009 1.5737e+009 1.4300e+009
1.3400e+001 1.7297e+009 1.5733e+009 1.4297e+009
1.3500e+001 1.7292e+009 1.5729e+009 1.4294e+009
1.3600e+001 1.7288e+009 1.5726e+009 1.4291e+009
1.3700e+001 1.7283e+009 1.5723e+009 1.4289e+009
1.3800e+001 1.7279e+009 1.5719e+009 1.4286e+009
1.3900e+001 1.7275e+009 1.5716e+009 1.4283e+009
1.4000e+001 1.7271e+009 1.5713e+009 1.4280e+009
1.4100e+001 1.7267e+009 1.5709e+009 1.4278e+009
1.4200e+001 1.7263e+009 1.5706e+009 1.4275e+009
1.4300e+001 1.7259e+009 1.5703e+009 1.4273e+009
1.4400e+001 1.7255e+009 1.5700e+009 1.4270e+009
1.4500e+001 1.7251e+009 1.5697e+009 1.4268e+009
1.4600e+001 1.7247e+009 1.5694e+009 1.4265e+009
1.4700e+001 1.7243e+009 1.5691e+009 1.4263e+009
1.4800e+001 1.7239e+009 1.5688e+009 1.4261e+009
1.4900e+001 1.7236e+009 1.5685e+009 1.4258e+009
1.5000e+001 1.7232e+009 1.5682e+009 1.4256e+009
1.5100e+001 1.7228e+009 1.5679e+009 1.4254e+009
1.5200e+001 1.7225e+009 1.5676e+009 1.4251e+009
1.5300e+001 1.7221e+009 1.5674e+009 1.4249e+009
1.5400e+001 1.7218e+009 1.5671e+009 1.4247e+009
1.5500e+001 1.7214e+009 1.5668e+009 1.4245e+009
1.5600e+001 1.7211e+009 1.5666e+009 1.4243e+009
1.5700e+001 1.7208e+009 1.5663e+009 1.4240e+009
1.5800e+001 1.7204e+009 1.5660e+009 1.4238e+009
1.5900e+001 1.7201e+009 1.5658e+009 1.4236e+009
1.6000e+001 1.7198e+009 1.5655e+009 1.4234e+009
1.6100e+001 1.7195e+009 1.5653e+009 1.4232e+009
1.6200e+001 1.7192e+009 1.5650e+009 1.4230e+009
1.6300e+001 1.7188e+009 1.5648e+009 1.4228e+009
1.6400e+001 1.7185e+009 1.5645e+009 1.4226e+009
1.6500e+001 1.7182e+009 1.5643e+009 1.4224e+009
